samplestamps,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16
85181154,978.5023803710938,1019.7738037109375,1038.68994140625,1046.91015625,1048.833251953125,1029.03662109375,1044.78759765625,991.2626342773438,1053.281982421875,1046.8311767578125,1045.128173828125,1047.200927734375,1044.193603515625,1033.825927734375,1026.28271484375,995.038330078125
85181156,-525.6212158203125,-524.811279296875,-543.8644409179688,-540.1468505859375,-535.2080688476562,-535.78955078125,-541.9453735351562,-545.5591430664062,-536.98583984375,-543.37841796875,-546.128173828125,-545.5964965820312,-541.7293701171875,-545.4013061523438,-539.8186645507812,-530.7095336914062
85181158,-2687.662353515625,-2761.092041015625,-2851.734619140625,-2847.41064453125,-2843.36083984375,-2807.987548828125,-2850.347412109375,-2745.7646484375,-2850.093994140625,-2851.635009765625,-2863.498046875,-2855.85107421875,-2851.5185546875,-2831.771728515625,-2807.995849609375,-2730.8154296875
85181160,-2494.181640625,-2561.135498046875,-2640.841552734375,-2635.01806640625,-2630.66064453125,-2601.46826171875,-2634.28271484375,-2530.79248046875,-2640.6669921875,-2636.704345703125,-2656.110595703125,-2646.31201171875,-2642.955810546875,-2621.385498046875,-2601.1484375,-2524.042724609375
85181162,-624.9161376953125,-629.1944580078125,-648.471923828125,-648.9994506835938,-643.3046875,-643.612060546875,-646.5030517578125,-619.927490234375,-647.9028930664062,-642.9017944335938,-657.3900146484375,-653.4896240234375,-646.9766235351562,-642.5279541015625,-633.8466796875,-606.4652709960938
85181164,1716.8153076171875,1787.2293701171875,1833.7677001953125,1824.3636474609375,1834.748046875,1802.552490234375,1834.3492431640625,1762.3692626953125,1832.990966796875,1837.5849609375,1829.28173828125,1835.088623046875,1835.4208984375,1822.885009765625,1812.085205078125,1776.0972900390625
85181166,1540.23193359375,1578.6705322265625,1607.7467041015625,1594.301025390625,1602.3218994140625,1582.37158203125,1603.671875,1562.1429443359375,1597.611572265625,1600.1744384765625,1599.5679931640625,1603.2647705078125,1603.4434814453125,1593.611572265625,1585.71533203125,1557.0047607421875
85181168,1456.118896484375,1496.12353515625,1522.894287109375,1514.321044921875,1517.5941162109375,1499.1640625,1518.26708984375,1480.8128662109375,1515.8079833984375,1517.4736328125,1519.214111328125,1516.6595458984375,1515.6834716796875,1507.4715576171875,1500.0654296875,1464.6756591796875
85181170,1264.5946044921875,1314.165283203125,1337.621337890625,1332.1591796875,1338.3109130859375,1320.4332275390625,1340.69921875,1292.1339111328125,1334.8798828125,1334.2734375,1338.6431884765625,1337.7501220703125,1333.912109375,1325.517333984375,1315.7685546875,1282.4805908203125
85181172,510.8837890625,558.5021362304688,570.0079956054688,570.4898071289062,581.1566162109375,564.923828125,578.1783447265625,533.0896606445312,569.3226318359375,572.49609375,568.9197387695312,571.31640625,568.2011108398438,569.2769165039062,555.4035034179688,541.82080078125
85181174,-1758.7886962890625,-1797.2315673828125,-1849.1739501953125,-1851.6246337890625,-1842.660888671875,-1824.0687255859375,-1849.759521484375,-1791.0009765625,-1858.0047607421875,-1853.8426513671875,-1868.185546875,-1858.17919921875,-1859.7119140625,-1838.8560791015625,-1836.1685791015625,-1779.0506591796875
85181176,-2801.005126953125,-2874.912353515625,-2956.848876953125,-2954.37744140625,-2949.260009765625,-2912.993896484375,-2957.841796875,-2846.24755859375,-2964.76171875,-2965.22705078125,-2984.097412109375,-2967.91455078125,-2966.656005859375,-2933.222412109375,-2924.566162109375,-2836.291015625
85181178,-1922.1009521484375,-1970.57080078125,-2027.962890625,-2023.3272705078125,-2011.59716796875,-1994.7247314453125,-2023.0157470703125,-1947.6961669921875,-2026.41357421875,-2030.139404296875,-2046.4178466796875,-2034.8663330078125,-2031.1405029296875,-2008.830810546875,-2001.175537109375,-1929.025146484375
