samplestamps,C1
84090074,-2066.80029296875
84090076,-931.5901489257812
84090078,1158.8572998046875
84090080,1211.4892578125
84090082,1075.761962890625
84090084,995.5326538085938
84090086,531.51123046875
84090088,-1047.259033203125
84090090,-2223.549560546875
84090092,-1740.333740234375
84090094,119.30757141113281
84090096,1457.2197265625
84090098,1069.468994140625
84090100,1124.958740234375
84090102,886.2646484375
84090104,10.899386405944824
84090106,-1825.049072265625
84090108,-2114.771728515625
84090110,-1086.137939453125
84090112,989.9915771484375
84090114,1266.775390625
84090116,1043.4127197265625
84090118,1029.95458984375
84090120,623.3003540039062
84090122,-909.1392211914062
84090124,-2233.065673828125
84090126,-1816.018798828125
84090128,-49.67029571533203
84090130,1460.281005859375
84090132,1092.18994140625
84090134,1128.4271240234375
84090136,851.4439086914062
84090138,123.97636413574219
84090140,-1792.579345703125
84090142,-2109.446533203125
84090144,-1200.5025634765625
84090146,807.4227294921875
84090148,1065.3070068359375
84090150,894.3685913085938
84090152,868.4409790039062
84090154,528.6991577148438
84090156,-883.7100830078125
84090158,-2372.037109375
84090160,-1975.8668212890625
84090162,-323.7333679199219
84090164,1356.3131103515625
84090166,1005.4849853515625
84090168,1083.1639404296875
84090170,822.3886108398438
84090172,158.11170959472656
84090174,-1680.1087646484375
84090176,-2248.0107421875
84090178,-1361.0733642578125
84090180,777.9686279296875
84090182,1364.624755859375
84090184,1030.4114990234375
84090186,1043.7906494140625
84090188,681.0662231445312
84090190,-641.128173828125
84090192,-2204.234619140625
84090194,-1972.452392578125
84090196,-397.66973876953125
84090198,1394.0164794921875
84090200,1130.9027099609375
84090202,1126.566162109375
84090204,946.4563598632812
84090206,285.42767333984375
84090208,-1560.306884765625
84090210,-2239.520751953125
84090212,-1404.438232421875
84090214,686.121337890625
84090216,1395.997802734375
84090218,1043.2008056640625
84090220,1103.110107421875
84090222,762.2384643554688
84090224,-452.2829895019531
84090226,-2161.34326171875
84090228,-1953.930908203125
84090230,-521.80810546875
84090232,1325.52978515625
84090234,1136.6888427734375
84090236,1141.95166015625
84090238,963.5738525390625
84090240,366.1761779785156
84090242,-1425.967041015625
84090244,-2240.5009765625
84090246,-1529.3658447265625
84090248,525.9992065429688
84090250,1433.6929931640625
84090252,1040.50927734375
84090254,1139.9786376953125
84090256,741.68994140625
84090258,-302.28765869140625
84090260,-2061.313232421875
84090262,-2002.799560546875
84090264,-695.0892333984375
84090266,1258.0234375
84090268,1162.633056640625
84090270,1122.7156982421875
84090272,959.2913818359375
84090274,443.9049072265625
84090276,-1266.6217041015625
84090278,-2243.441650390625
84090280,-1632.9141845703125
84090282,370.7951354980469
84090284,1428.9202880859375
84090286,1017.755126953125
84090288,1126.0262451171875
84090290,792.0830078125
84090292,-199.95639038085938
84090294,-1992.2532958984375
84090296,-2044.8394775390625
84090298,-826.6959838867188
84090300,1175.6341552734375
84090302,1219.3896484375
84090304,1074.7691650390625
84090306,976.2178344726562
84090308,524.1715698242188
84090310,-1169.8148193359375
84090312,-2287.728759765625
84090314,-1688.071533203125
84090316,195.52020263671875
84090318,1417.6553955078125
84090320,1015.6865234375
84090322,1111.08935546875
84090324,799.6012573242188
84090326,-119.36572265625
84090328,-1961.715087890625
84090330,-2085.857666015625
84090332,-996.791259765625
84090334,1097.8555908203125
84090336,1284.3787841796875
84090338,1083.0185546875
84090340,982.4151611328125
84090342,563.9601440429688
84090344,-1026.7479248046875
84090346,-2269.6767578125
84090348,-1820.837158203125
84090350,61.3671989440918
84090352,1381.63427734375
84090354,1026.058349609375
84090356,1105.0914306640625
84090358,821.4415283203125
84090360,-1.3001173734664917
84090362,-1890.113037109375
84090364,-2200.9365234375
84090366,-1147.0482177734375
84090368,974.7806396484375
84090370,1303.0623779296875
84090372,1023.4747924804688
84090374,1036.29736328125
84090376,576.0848999023438
84090378,-861.7202758789062
84090380,-2263.171875
84090382,-1816.7457275390625
84090384,-86.47649383544922
84090386,1421.485107421875
84090388,1069.6309814453125
84090390,1076.8377685546875
84090392,846.1146850585938
84090394,117.42593383789062
84090396,-1792.1473388671875
84090398,-2204.82861328125
84090400,-1253.0430908203125
84090402,840.2288818359375
84090404,1304.6116943359375
84090406,1003.848388671875
84090408,1045.5228271484375
84090410,606.5400390625
84090412,-749.0586547851562
84090414,-2293.41943359375
84090416,-1919.81640625
84090418,-301.89306640625
84090420,1399.831787109375
84090422,1052.484375
84090424,1105.0914306640625
84090426,861.2508544921875
84090428,216.23069763183594
84090430,-1668.1419677734375
84090432,-2274.370361328125
84090434,-1419.26708984375
84090436,725.2245483398438
84090438,1387.5491943359375
84090440,1017.4892578125
84090442,1061.859375
84090444,669.3568725585938
84090446,-585.7880249023438
84090448,-2206.4111328125
84090450,-1997.59912109375
84090452,-442.6255798339844
84090454,1352.76171875
84090456,1082.9935302734375
84090458,1117.45703125
84090460,898.38525390625
84090462,304.6802062988281
84090464,-1549.611083984375
84090466,-2277.66015625
84090468,-1499.438232421875
84090470,579.0382080078125
84090472,1363.6361083984375
84090474,970.705810546875
84090476,1057.4854736328125
84090478,741.6234741210938
84090480,-497.799560546875
84090482,-2222.394775390625
84090484,-2037.10107421875
84090486,-627.9067993164062
84090488,1248.7357177734375
84090490,1144.73876953125
84090492,1112.7716064453125
84090494,886.0361938476562
84090496,405.6324462890625
84090498,-1421.663818359375
84090500,-2280.0693359375
84090502,-1613.146484375
84090504,457.17608642578125
84090506,1601.175537109375
84090508,1199.72998046875
84090510,1236.13330078125
84090512,863.5354614257812
84090514,-232.67530822753906
84090516,-2043.5185546875
84090518,-2006.1973876953125
84090520,-729.88916015625
84090522,1272.852294921875
84090524,1213.8443603515625
84090526,1108.854736328125
84090528,954.2570190429688
84090530,479.1659240722656
84090532,-1265.30908203125
84090534,-2270.486572265625
84090536,-1654.77099609375
