samplestamps,C1,C2
83255534,-261.5520324707031,-264.0484313964844
83255536,-2095.56494140625,-2171.287353515625
83255538,-2035.1612548828125,-2095.5107421875
83255540,-644.6878662109375,-653.2113647460938
83255542,1312.682373046875,1377.75048828125
83255544,1219.767578125,1251.8385009765625
83255546,1161.108642578125,1191.5595703125
83255548,1011.2254638671875,1044.9329833984375
83255550,507.9471130371094,535.9100341796875
83255552,-1320.6783447265625,-1364.2467041015625
83255554,-2244.49267578125,-2323.79150390625
83255556,-1598.3426513671875,-1647.96728515625
83255558,431.908935546875,461.2052001953125
83255560,1433.1861572265625,1478.0548095703125
83255562,1047.0721435546875,1061.9840087890625
83255564,1069.9010009765625,1136.0408935546875
83255566,635.678466796875,896.9439086914062
83255568,-358.33807373046875,-185.0278778076172
83255570,-2204.62109375,-2122.2109375
83255572,-2191.694580078125,-2129.15185546875
83255574,-896.7029418945312,-800.922119140625
83255576,1116.56396484375,1273.0101318359375
83255578,1159.5426025390625,1275.68505859375
83255580,1044.3970947265625,1147.19775390625
83255582,981.7921142578125,1074.7069091796875
83255584,468.0214538574219,553.1231079101562
83255586,-1203.8255615234375,-1197.7652587890625
83255588,-2338.283935546875,-2379.42236328125
83255590,-1721.205810546875,-1747.029541015625
83255592,201.79232788085938,244.51759338378906
83255594,1409.4185791015625,1480.048583984375
83255596,1041.406494140625,1074.000732421875
83255598,1122.3419189453125,1158.98193359375
83255600,895.7559204101562,936.7532348632812
83255602,-77.85334777832031,-60.61537551879883
83255604,-1973.4202880859375,-2044.5404052734375
83255606,-2119.05419921875,-2185.850341796875
83255608,-969.1149291992188,-986.8638305664062
83255610,1128.4810791015625,1191.6343994140625
83255612,1266.7420654296875,1310.7674560546875
83255614,1101.8265380859375,1137.3575439453125
83255616,1036.613037109375,1077.5439453125
83255618,618.1123046875,661.3692626953125
83255620,-1006.0415649414062,-1029.2401123046875
83255622,-2261.892578125,-2340.9296875
83255624,-1770.0079345703125,-1826.9971923828125
83255626,119.76863861083984,142.1946258544922
83255628,1449.6142578125,1508.30224609375
83255630,1059.072265625,1080.65087890625
83255632,1172.4981689453125,1203.07373046875
83255634,920.3667602539062,949.7626953125
83255636,63.244686126708984,75.11189270019531
83255638,-1877.572998046875,-1952.72216796875
83255640,-2155.577880859375,-2232.442626953125
83255642,-1048.8665771484375,-1083.1680908203125
83255644,1031.2464599609375,1078.262451171875
83255646,1356.9361572265625,1386.539794921875
83255648,1108.7965087890625,1129.245361328125
83255650,1162.8531494140625,1191.7880859375
83255652,749.0669555664062,779.2645874023438
83255654,-791.6468505859375,-821.6865844726562
83255656,-2247.009765625,-2330.113525390625
83255658,-1828.09375,-1886.50341796875
83255660,-77.00183868408203,-65.24678039550781
83255662,1496.2440185546875,1549.4324951171875
83255664,1093.348876953125,1112.1610107421875
83255666,1199.71337890625,1224.000244140625
83255668,920.254638671875,943.2994995117188
83255670,224.17262268066406,226.7313232421875
83255672,-1749.201904296875,-1824.8912353515625
83255674,-2178.33203125,-2268.63818359375
83255676,-1241.292236328125,-1291.5440673828125
83255678,955.3411865234375,995.279296875
83255680,1388.400634765625,1419.3917236328125
83255682,1109.839111328125,1119.1517333984375
83255684,1141.046142578125,1160.6475830078125
83255686,778.6373291015625,802.0602416992188
83255688,-708.4600830078125,-733.0750732421875
83255690,-2239.1259765625,-2331.6669921875
83255692,-1862.985107421875,-1937.3741455078125
83255694,-204.63763427734375,-209.58473205566406
83255696,1467.005859375,1519.288818359375
83255698,1077.1285400390625,1099.438232421875
83255700,1135.2391357421875,1168.0286865234375
83255702,941.4843139648438,975.0464477539062
83255704,299.8037414550781,326.3211364746094
83255706,-1584.556396484375,-1643.5726318359375
83255708,-2194.69775390625,-2268.42236328125
83255710,-1290.3809814453125,-1325.8414306640625
83255712,827.5724487304688,870.2686157226562
83255714,1408.5587158203125,1449.315185546875
83255716,1074.220947265625,1091.1431884765625
83255718,1141.03369140625,1165.7774658203125
83255720,794.27197265625,826.5797119140625
83255722,-492.0549621582031,-507.3780517578125
83255724,-2161.214599609375,-2242.349365234375
83255726,-1933.573486328125,-1995.6177978515625
83255728,-375.696533203125,-376.626953125
83255730,1420.0313720703125,1475.3382568359375
83255732,1115.903564453125,1143.1728515625
83255734,1188.3861083984375,1216.12060546875
83255736,979.9354248046875,1016.0437622070312
83255738,397.9106750488281,423.5516357421875
83255740,-1511.4217529296875,-1566.55419921875
83255742,-2207.869140625,-2285.186767578125
83255744,-1460.247802734375,-1504.90869140625
83255746,656.4429321289062,694.7652587890625
83255748,1425.746826171875,1472.09423828125
83255750,1066.5614013671875,1084.314453125
83255752,1141.1915283203125,1167.584228515625
83255754,796.97607421875,830.2017822265625
83255756,-405.53692626953125,-414.1849670410156
83255758,-2119.984619140625,-2199.005126953125
83255760,-1946.7408447265625,-2011.310546875
83255762,-496.2626647949219,-508.3085021972656
83255764,1428.2183837890625,1483.4754638671875
83255766,1216.2659912109375,1237.44580078125
83255768,1199.8421630859375,1214.7540283203125
83255770,1048.6463623046875,1070.1046142578125
83255772,526.4685668945312,542.6473999023438
83255774,-1324.4415283203125,-1385.9957275390625
83255776,-2225.015869140625,-2317.9970703125
83255778,-1498.017578125,-1559.88330078125
83255780,537.8290405273438,562.2197265625
83255782,1488.6800537109375,1530.74072265625
83255784,1072.434814453125,1077.97998046875
83255786,1179.8502197265625,1201.54931640625
83255788,892.8026123046875,921.509033203125
83255790,-233.19036865234375,-241.05337524414062
83255792,-2095.71435546875,-2181.80859375
83255794,-2001.24609375,-2076.09619140625
83255796,-698.4537353515625,-716.5930786132812
83255798,1322.156982421875,1377.9249267578125
