samplestamps,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16
84285274,698.3416137695312,732.5226440429688,765.1626586914062,759.044189453125,768.9882202148438,750.5830688476562,768.14501953125,712.6013793945312,755.9330444335938,759.4761962890625,770.3091430664062,766.1346435546875,763.3723754882812,767.5842895507812,743.4137573242188,709.8682250976562
84285276,-897.3717041015625,-930.277587890625,-948.0928955078125,-956.138671875,-951.6567993164062,-941.1769409179688,-950.7762451171875,-926.697021484375,-958.8178100585938,-956.5872802734375,-954.302734375,-950.5643920898438,-952.0389404296875,-934.8009643554688,-948.553955078125,-921.8787231445312
84285278,-2184.8408203125,-2275.130615234375,-2343.3056640625,-2345.82275390625,-2350.117919921875,-2307.758056640625,-2343.160400390625,-2248.712890625,-2357.378662109375,-2352.4521484375,-2352.68896484375,-2349.37841796875,-2346.308837890625,-2318.254638671875,-2322.798828125,-2243.39599609375
84285280,-1748.242431640625,-1820.297119140625,-1876.360107421875,-1872.197998046875,-1878.0631103515625,-1845.481201171875,-1867.541748046875,-1799.217041015625,-1879.2801513671875,-1872.6424560546875,-1877.0869140625,-1870.087890625,-1864.7254638671875,-1846.1873779296875,-1846.2205810546875,-1776.541748046875
84285282,35.040863037109375,43.14063262939453,43.44385528564453,53.05143356323242,47.31513214111328,48.025421142578125,56.985015869140625,40.92669677734375,41.70344543457031,53.990177154541016,54.56338882446289,64.57803344726562,58.34743881225586,60.511531829833984,47.24867248535156,55.805355072021484
84285284,1477.032958984375,1530.433349609375,1570.857421875,1574.4005126953125,1570.861572265625,1553.86865234375,1580.3612060546875,1504.64697265625,1561.44091796875,1571.513671875,1581.2957763671875,1585.2252197265625,1573.648681640625,1567.197998046875,1537.9390869140625,1500.1318359375
84285286,1118.4000244140625,1132.7469482421875,1155.4595947265625,1152.8759765625,1152.4190673828125,1147.152099609375,1157.4158935546875,1121.5859375,1140.3565673828125,1150.19677734375,1160.8759765625,1165.2872314453125,1152.9091796875,1149.9891357421875,1133.14990234375,1105.818359375
84285288,1197.653076171875,1225.188232421875,1251.5186767578125,1250.3555908203125,1252.85205078125,1240.158203125,1255.871826171875,1207.0322265625,1239.7095947265625,1246.4012451171875,1254.010986328125,1255.028564453125,1245.95263671875,1241.8570556640625,1221.827880859375,1189.42041015625
84285290,903.90966796875,940.7158813476562,967.349609375,960.39208984375,966.6517944335938,954.0867309570312,967.656982421875,914.5847778320312,960.5042724609375,961.1273193359375,967.9020385742188,966.9591674804688,960.8074951171875,950.4190063476562,934.867431640625,908.0010986328125
84285292,110.77165985107422,129.7417449951172,145.87066650390625,135.03358459472656,141.94955444335938,135.94325256347656,137.97027587890625,111.29917907714844,133.19764709472656,138.62242126464844,143.46566772460938,138.66810607910156,136.03048706054688,133.72100830078125,125.3180160522461,110.8879623413086
84285294,-1817.6180419921875,-1886.457763671875,-1936.597412109375,-1945.594482421875,-1945.2620849609375,-1917.427978515625,-1947.5341796875,-1868.534423828125,-1948.169677734375,-1942.4127197265625,-1944.0201416015625,-1945.677490234375,-1938.612060546875,-1923.795654296875,-1913.797607421875,-1858.548828125
84285296,-2169.426513671875,-2243.537353515625,-2305.27001953125,-2306.960693359375,-2316.248291015625,-2280.106689453125,-2309.13720703125,-2208.567138671875,-2310.511962890625,-2303.890869140625,-2313.519287109375,-2312.887939453125,-2298.981201171875,-2287.367431640625,-2269.975830078125,-2199.545166015625
84285298,-1134.6119384765625,-1165.02978515625,-1200.4154052734375,-1193.4537353515625,-1203.66357421875,-1184.8388671875,-1195.825439453125,-1143.0357666015625,-1196.8555908203125,-1191.817138671875,-1196.8057861328125,-1199.676025390625,-1185.10888671875,-1185.45361328125,-1170.32568359375,-1137.826904296875
84285300,1011.7695922851562,1068.6466064453125,1103.363525390625,1108.4891357421875,1109.0125732421875,1088.833740234375,1114.8194580078125,1057.281982421875,1109.6024169921875,1110.790283203125,1111.583740234375,1108.2108154296875,1117.97216796875,1097.062255859375,1094.28759765625,1053.08251953125
84285302,1400.5877685546875,1442.1790771484375,1478.9852294921875,1476.6591796875,1480.983154296875,1460.318359375,1478.3206787109375,1422.2618408203125,1472.71728515625,1476.360107421875,1481.6435546875,1478.9520263671875,1486.8275146484375,1466.7275390625,1462.133544921875,1409.6678466796875
84285304,1135.93701171875,1159.1273193359375,1189.2584228515625,1180.04541015625,1188.136962890625,1170.8408203125,1182.3133544921875,1149.889404296875,1175.66748046875,1171.9415283203125,1184.6810302734375,1178.491943359375,1186.915771484375,1171.0858154296875,1162.7867431640625,1125.4571533203125
84285306,1086.6572265625,1122.3585205078125,1148.364990234375,1149.594482421875,1153.4656982421875,1135.7625732421875,1148.9132080078125,1108.1983642578125,1135.9951171875,1133.0003662109375,1146.4293212890625,1143.9246826171875,1146.4210205078125,1128.269287109375,1119.6253662109375,1078.6571044921875
84285308,675.5916137695312,721.8267822265625,745.955810546875,748.4895629882812,752.5934448242188,737.7314453125,745.1043090820312,702.856689453125,731.704345703125,731.0106811523438,746.8156127929688,736.6057739257812,743.7792358398438,725.5609741210938,717.9264526367188,686.6488647460938
