samplestamps,C1
83161014,1091.662353515625
83161016,1176.876220703125
83161018,823.5723876953125
83161020,-295.3218688964844
83161022,-2098.003173828125
83161024,-1976.369384765625
83161026,-589.3186645507812
83161028,1389.6219482421875
83161030,1191.0487060546875
83161032,1157.9061279296875
83161034,1001.6552734375
83161036,594.9054565429688
83161038,-964.010009765625
83161040,-2074.32275390625
83161042,-1383.8814697265625
83161044,622.65234375
83161046,1627.073974609375
83161048,1175.443115234375
83161050,1269.4171142578125
83161052,980.9114990234375
83161054,-81.90739440917969
83161056,-1961.798095703125
83161058,-1978.3507080078125
83161060,-731.2100830078125
83161062,1324.171630859375
83161064,1306.2149658203125
83161066,1190.3841552734375
83161068,1043.7740478515625
83161070,557.1148071289062
83161072,-1108.7965087890625
83161074,-2228.949462890625
83161076,-1662.9871826171875
83161078,326.8279113769531
83161080,1489.9593505859375
83161082,1083.2344970703125
83161084,1203.634521484375
83161086,894.8753051757812
83161088,-19.81744384765625
83161090,-1942.250732421875
83161092,-2098.99169921875
83161094,-897.1390991210938
83161096,1191.2938232421875
83161098,1323.8433837890625
83161100,1124.630615234375
83161102,1045.6058349609375
83161104,638.8519287109375
83161106,-983.3622436523438
83161108,-2255.562255859375
83161110,-1760.5208740234375
83161112,127.35334777832031
83161114,1473.327880859375
83161116,1061.527099609375
83161118,1181.4453125
83161120,934.3316040039062
83161122,79.58545684814453
83161124,-1850.266357421875
83161126,-2140.736572265625
83161128,-1078.220947265625
83161130,1064.4180908203125
83161132,1355.544677734375
83161134,1097.623046875
83161136,1108.626220703125
83161138,701.1827392578125
83161140,-789.1836547851562
83161142,-2228.1767578125
83161144,-1802.07470703125
83161146,-68.85221862792969
83161148,1510.46630859375
83161150,1056.9580078125
83161152,1181.6488037109375
83161154,921.6378173828125
83161156,206.72695922851562
83161158,-1704.44970703125
83161160,-2118.846435546875
83161162,-1237.8404541015625
83161164,923.5734252929688
83161166,1367.37451171875
83161168,1098.63232421875
83161170,1127.704345703125
83161172,758.9113159179688
83161174,-649.9423828125
83161176,-2203.723876953125
83161178,-1908.8048095703125
83161180,-243.1343994140625
83161182,1415.0966796875
83161184,1110.3043212890625
83161186,1155.67138671875
83161188,953.8250732421875
83161190,298.2087097167969
83161192,-1625.798828125
83161194,-2210.577392578125
83161196,-1351.274658203125
83161198,796.8389892578125
83161200,1444.0855712890625
83161202,1094.2127685546875
83161204,1166.616455078125
83161206,759.4180297851562
83161208,-510.576416015625
83161210,-2201.0986328125
83161212,-1915.4051513671875
83161214,-437.989990234375
83161216,1397.09033203125
83161218,1171.484619140625
83161220,1181.2957763671875
83161222,999.7985229492188
83161224,397.578369140625
83161226,-1482.9976806640625
83161228,-2214.49853515625
83161230,-1459.749267578125
83161232,653.9839477539062
83161234,1452.2559814453125
83161236,1067.321533203125
83161238,1130.0262451171875
83161240,807.2482299804688
83161242,-366.97369384765625
83161244,-2116.321044921875
83161246,-2017.5079345703125
83161248,-622.5443725585938
83161250,1362.763916015625
83161252,1210.5172119140625
83161254,1152.946533203125
83161256,1011.8402099609375
83161258,496.3083801269531
83161260,-1317.1102294921875
83161262,-2256.584228515625
83161264,-1579.6591796875
83161266,504.55352783203125
83161268,1461.4439697265625
83161270,1110.2462158203125
83161272,1221.35009765625
83161274,860.42431640625
83161276,-168.75772094726562
83161278,-2015.767578125
83161280,-2055.62255859375
83161282,-774.201171875
83161284,1300.6781005859375
83161286,1233.41259765625
83161288,1147.2933349609375
83161290,1030.4613037109375
83161292,545.5508422851562
83161294,-1121.1290283203125
83161296,-2227.728271484375
83161298,-1634.8040771484375
83161300,314.26702880859375
83161302,1531.7333984375
83161304,1049.315185546875
83161306,1198.263671875
83161308,888.0009155273438
83161310,-35.48530960083008
83161312,-1923.8330078125
83161314,-2062.52197265625
83161316,-919.1497192382812
83161318,1174.533447265625
83161320,1309.8287353515625
83161322,1168.8594970703125
83161324,1015.1506958007812
83161326,643.865478515625
83161328,-983.3082275390625
83161330,-2250.65673828125
83161332,-1774.66015625
83161334,147.98492431640625
83161336,1519.8994140625
83161338,1070.5074462890625
83161340,1183.94580078125
83161342,896.1588134765625
83161344,53.267425537109375
83161346,-1889.9842529296875
83161348,-2118.34814453125
83161350,-1086.8607177734375
83161352,1077.917724609375
83161354,1323.706298828125
83161356,1096.480712890625
83161358,1071.3714599609375
83161360,677.4982299804688
83161362,-809.8651123046875
83161364,-2230.78125
