samplestamps,C1,C2,C3,C4
84197574,943.087646484375,983.3705444335938,1017.8298950195312,1025.44775390625
84197576,1228.1331787109375,1256.4324951171875,1286.630126953125,1291.996826171875
84197578,966.5105590820312,981.2521362304688,1003.0716552734375,1006.7643432617188
84197580,943.1873779296875,962.830322265625,990.8513793945312,995.90234375
84197582,465.89892578125,486.7755432128906,508.74462890625,517.214111328125
84197584,-1011.3417358398438,-1043.88623046875,-1069.693359375,-1063.691162109375
84197586,-2408.216064453125,-2497.226318359375,-2574.772216796875,-2565.895751953125
84197588,-1969.428466796875,-2045.65771484375,-2109.043701171875,-2102.76318359375
84197590,-178.00807189941406,-171.76918029785156,-184.77865600585938,-173.28529357910156
84197592,1331.5859375,1386.4027099609375,1415.5618896484375,1421.5308837890625
84197594,962.0120239257812,973.4638671875,988.1473388671875,986.6893310546875
84197596,1034.6732177734375,1054.831298828125,1074.22509765625,1078.9188232421875
84197598,706.9647827148438,732.8341674804688,753.4117431640625,757.4450073242188
84197600,-61.97779846191406,-48.19157028198242,-47.51035690307617,-45.587181091308594
84197602,-1952.4771728515625,-2029.2587890625,-2087.10791015625,-2087.589599609375
84197604,-2371.63818359375,-2456.4658203125,-2534.049072265625,-2525.6044921875
84197606,-1389.775634765625,-1439.375244140625,-1482.121337890625,-1469.797119140625
84197608,787.0610961914062,826.1809692382812,843.9547729492188,853.437744140625
84197610,1216.066650390625,1249.0762939453125,1270.6964111328125,1272.0048828125
84197612,952.4252319335938,954.5270385742188,953.4761352539062,963.0006713867188
84197614,1129.876708984375,974.8595581054688,965.0650634765625,971.2250366210938
84197616,768.460693359375,597.3935546875,585.3186645507812,585.4848022460938
84197618,-748.676513671875,-916.649169921875,-962.2197265625,-965.4306030273438
84197620,-2299.546142578125,-2531.777099609375,-2625.26513671875,-2625.713623046875
84197622,-2008.4527587890625,-2202.290771484375,-2278.66943359375,-2273.714111328125
84197624,-306.0343322753906,-419.68450927734375,-441.69927978515625,-435.1073303222656
84197626,1347.1126708984375,1303.3447265625,1334.1114501953125,1339.5653076171875
84197628,995.1505126953125,920.30859375,932.6369018554688,931.4073486328125
