samplestamps,C1,C2
84593754,-657.3983154296875,-682.9188232421875
84593756,-2715.359375,-2816.97216796875
84593758,-2414.6376953125,-2495.50244140625
84593760,-529.8704833984375,-547.7024536132812
84593762,1740.1260986328125,1794.6270751953125
84593764,1497.340576171875,1515.4632568359375
84593766,1451.192626953125,1472.6341552734375
84593768,1218.3470458984375,1251.340087890625
84593770,407.6345520019531,438.3139953613281
84593772,-1894.8150634765625,-1940.7012939453125
84593774,-2769.37451171875,-2844.72314453125
84593776,-1802.6895751953125,-1848.455322265625
84593778,832.51123046875,878.6217651367188
84593780,1770.8013916015625,1824.9866943359375
84593782,1353.9205322265625,1381.1773681640625
84593784,1449.119873046875,1486.727783203125
84593786,945.6920776367188,995.1505126953125
84593788,-517.84130859375,-518.8630981445312
84593790,-2660.517822265625,-2739.0771484375
84593792,-2451.41064453125,-2522.863037109375
84593794,-659.42529296875,-665.5064086914062
84593796,1664.7607421875,1727.5111083984375
84593798,1468.451416015625,1495.6375732421875
84593800,1400.5794677734375,1431.744873046875
84593802,1231.24853515625,1261.699462890625
84593804,538.0034790039062,571.2499389648438
84593806,-1713.2264404296875,-1764.7618408203125
84593808,-2763.127197265625,-2851.921630859375
84593810,-1928.962890625,-1984.909423828125
84593812,635.1509399414062,669.722412109375
84593814,1810.9305419921875,1861.174072265625
84593816,1307.519287109375,1328.9898681640625
84593818,1465.805419921875,1493.365478515625
84593820,1010.2451782226562,1049.5975341796875
84593822,-361.3246154785156,-361.2996826171875
84593824,-2564.404541015625,-2647.848876953125
84593826,-2491.735107421875,-2567.927001953125
84593828,-870.796142578125,-892.3041381835938
84593830,1577.0589599609375,1633.6077880859375
84593832,1546.927734375,1578.529296875
84593834,1433.21533203125,1466.8853759765625
84593836,1239.3607177734375,1278.8419189453125
84593838,624.5173950195312,665.5230102539062
84593840,-1576.7183837890625,-1611.1361083984375
84593842,-2810.8330078125,-2890.351806640625
84593844,-2046.758544921875,-2096.1630859375
84593846,463.5188293457031,494.6551818847656
84593848,1833.3939208984375,1888.4058837890625
84593850,1362.9176025390625,1386.228271484375
84593852,1430.4488525390625,1465.9425048828125
84593854,1017.8755493164062,1069.431640625
84593856,-209.3188934326172,-191.947998046875
84593858,-2569.671630859375,-2643.60791015625
84593860,-2577.16064453125,-2648.588134765625
84593862,-1023.827880859375,-1045.2694091796875
84593864,1532.967041015625,1593.1256103515625
84593866,1599.0196533203125,1639.0740966796875
84593868,1435.5081787109375,1474.3870849609375
84593870,1301.6749267578125,1347.2247314453125
84593872,686.8316040039062,735.0730590820312
84593874,-1392.9989013671875,-1416.4674072265625
84593876,-2835.2236328125,-2907.839111328125
84593878,-2092.840087890625,-2139.523681640625
84593880,297.2034912109375,327.5755615234375
84593882,1831.0345458984375,1899.488037109375
84593884,1367.428466796875,1402.249267578125
84593886,1509.3406982421875,1552.061767578125
84593888,1083.7994384765625,1128.4727783203125
84593890,-63.0079231262207,-44.8145866394043
84593892,-2425.649169921875,-2492.54931640625
84593894,-2663.815673828125,-2731.90380859375
84593896,-1187.60107421875,-1206.2222900390625
84593898,1415.00537109375,1477.5023193359375
84593900,1669.649658203125,1711.7103271484375
84593902,1413.1278076171875,1446.7232666015625
84593904,1339.9100341796875,1380.462890625
84593906,733.6524658203125,776.5563354492188
84593908,-1217.2503662109375,-1246.3763427734375
84593910,-2798.38427734375,-2886.9375
84593912,-2181.576171875,-2249.2861328125
84593914,129.4385223388672,141.0274200439453
84593916,1844.0689697265625,1893.494140625
84593918,1402.5400390625,1421.8424072265625
84593920,1460.1356201171875,1492.6011962890625
84593922,1141.710693359375,1182.5169677734375
84593924,69.89065551757812,87.88460540771484
84593926,-2297.448486328125,-2372.822021484375
84593928,-2698.5576171875,-2774.201171875
84593930,-1305.5587158203125,-1343.947509765625
84593932,1264.39111328125,1313.845458984375
84593934,1744.0804443359375,1779.457763671875
84593936,1386.22412109375,1412.1392822265625
84593938,1347.2330322265625,1381.646728515625
84593940,810.7290649414062,859.24462890625
84593942,-1068.9913330078125,-1080.06103515625
84593944,-2834.517333984375,-2909.504638671875
84593946,-2286.216796875,-2345.702392578125
84593948,-100.53271484375,-82.6384506225586
84593950,1838.2662353515625,1902.823486328125
84593952,1448.2850341796875,1473.298828125
84593954,1442.029541015625,1484.4058837890625
84593956,1106.404052734375,1151.8831787109375
84593958,182.0911865234375,208.77474975585938
84593960,-2183.25830078125,-2245.3359375
84593962,-2736.0283203125,-2815.439453125
84593964,-1499.9241943359375,-1533.3201904296875
84593966,1160.86767578125,1211.1029052734375
84593968,1727.934814453125,1776.3963623046875
84593970,1379.20849609375,1408.03125
84593972,1352.3463134765625,1395.99365234375
84593974,853.7284545898438,903.8432006835938
84593976,-879.9592895507812,-887.1078491210938
84593978,-2790.973876953125,-2868.565673828125
