samplestamps,C1,C2,C3,C4,C5,C6,C7,C8
83352194,421.6741638183594,450.1521301269531,469.5915832519531,466.75042724609375,462.575927734375,454.978759765625,466.6590576171875,429.466552734375
83352196,-1441.6763916015625,-1491.55859375,-1527.13525390625,-1530.9193115234375,-1544.078369140625,-1517.36572265625,-1539.1353759765625,-1485.9842529296875
83352198,-2228.629638671875,-2311.66259765625,-2363.035888671875,-2360.182373046875,-2384.0703125,-2345.415771484375,-2374.114013671875,-2283.953125
83352200,-1474.598876953125,-1524.755126953125,-1554.0306396484375,-1551.99951171875,-1573.1253662109375,-1543.0357666015625,-1561.47412109375,-1505.1868896484375
83352202,612.7332763671875,644.9661865234375,682.3995971679688,686.7984008789062,669.2447509765625,663.6953735351562,677.2282104492188,631.6950073242188
83352204,1458.864501953125,1501.2242431640625,1550.7159423828125,1548.09912109375,1541.39501953125,1521.648193359375,1542.01806640625,1474.640380859375
83352206,1094.1090087890625,1112.1527099609375,1143.463623046875,1139.276611328125,1133.84765625,1125.1497802734375,1129.2578125,1096.8297119140625
83352208,1159.380615234375,1187.235595703125,1223.40625,1216.9388427734375,1214.1932373046875,1204.033203125,1215.273193359375,1176.2822265625
83352210,855.4439697265625,888.6488647460938,928.7406616210938,925.745849609375,914.8838500976562,907.8972778320312,919.5858764648438,875.7557373046875
83352212,-280.56781005859375,-283.5585021972656,-276.5303955078125,-285.3778381347656,-290.60321044921875,-285.9385681152344,-286.9230041503906,-284.1483154296875
83352214,-2083.97998046875,-2161.517822265625,-2213.069580078125,-2221.319091796875,-2229.9296875,-2194.219970703125,-2225.044921875,-2126.892333984375
83352216,-1999.8961181640625,-2068.108642578125,-2111.77685546875,-2116.97314453125,-2125.941162109375,-2092.017578125,-2116.98974609375,-2030.2806396484375
83352218,-601.1858520507812,-619.3750610351562,-616.7955932617188,-619.4539794921875,-623.3668212890625,-617.5972900390625,-612.6792602539062,-597.7881469726562
83352220,1379.3372802734375,1427.9608154296875,1483.5377197265625,1477.7930908203125,1487.678955078125,1457.3568115234375,1490.8150634765625,1415.4248046875
83352222,1203.717529296875,1221.213134765625,1259.298583984375,1251.896728515625,1260.3121337890625,1239.792724609375,1259.7347412109375,1216.772705078125
83352224,1182.9031982421875,1191.9583740234375,1234.8955078125,1222.849609375,1228.1622314453125,1211.4227294921875,1231.032470703125,1189.74853515625
