samplestamps,C1,C2
84991154,-2443.801025390625,-2517.421630859375
84991156,-1020.79150390625,-1045.8883056640625
84991158,1498.0509033203125,1554.6578369140625
84991160,1628.598388671875,1662.4637451171875
84991162,1395.4329833984375,1419.1590576171875
84991164,1286.817138671875,1316.420654296875
84991166,748.2362060546875,783.60107421875
84991168,-1214.4134521484375,-1255.4315185546875
84991170,-2629.738525390625,-2721.2744140625
84991172,-1990.5294189453125,-2056.906005859375
84991174,274.3829040527344,287.6540832519531
84991176,1905.4278564453125,1960.6932373046875
84991178,1410.1787109375,1420.6585693359375
84991180,1466.411865234375,1491.047607421875
84991182,1105.623046875,1138.32958984375
84991184,137.16860961914062,148.40444946289062
84991186,-2220.20166015625,-2303.093505859375
84991188,-2493.48388671875,-2583.229248046875
84991190,-1150.7283935546875,-1191.53466796875
84991192,1377.704833984375,1426.885009765625
84991194,1677.8824462890625,1701.9283447265625
84991196,1365.787841796875,1381.958251953125
84991198,1325.434326171875,1352.3670654296875
84991200,846.143798828125,877.17626953125
84991202,-1022.008544921875,-1054.847900390625
84991204,-2667.16357421875,-2756.9423828125
84991206,-2103.26171875,-2172.795166015625
84991208,68.65283966064453,75.62279510498047
84991210,1818.959716796875,1870.968505859375
84991212,1388.7745361328125,1402.012451171875
84991214,1467.844970703125,1492.0943603515625
84991216,1136.3607177734375,1166.911376953125
84991218,193.44749450683594,209.7799530029297
84991220,-2099.20361328125,-2180.16796875
84991222,-2406.463134765625,-2599.2294921875
84991224,-1066.5863037109375,-1359.6029052734375
84991226,1406.1080322265625,1321.7000732421875
84991228,1881.7515869140625,1749.11474609375
84991230,1488.27294921875,1376.138916015625
84991232,1427.163330078125,1331.7188720703125
84991234,1016.5172729492188,945.5674438476562
84991236,-737.0169677734375,-855.6392211914062
84991238,-2578.402587890625,-2754.98193359375
84991240,-2075.182373046875,-2227.416748046875
84991242,-47.58927917480469,-117.44255065917969
84991244,1920.10302734375,1912.322998046875
84991246,1469.759765625,1431.4873046875
84991248,1513.3822021484375,1498.04248046875
84991250,1213.748779296875,1213.707275390625
84991252,343.29742431640625,336.89654541015625
84991254,-1935.4593505859375,-2030.4384765625
84991256,-2536.836181640625,-2645.568359375
84991258,-1448.0772705078125,-1524.983642578125
84991260,1154.2840576171875,1175.0693359375
84991262,1764.4337158203125,1787.6072998046875
84991264,1398.1951904296875,1404.363525390625
84991266,1389.792236328125,1410.544189453125
84991268,925.3554077148438,960.35888671875
84991270,-667.7244873046875,-694.96044921875
84991272,-2597.671875,-2693.48583984375
84991274,-2257.72216796875,-2337.091796875
84991276,-306.2669372558594,-310.08837890625
84991278,1768.52099609375,1829.4395751953125
84991280,1431.10107421875,1454.6485595703125
84991282,1429.9462890625,1458.183349609375
84991284,1188.3778076171875,1221.7655029296875
84991286,467.9924011230469,492.0133972167969
84991288,-1827.0137939453125,-1889.219970703125
84991290,-2596.595947265625,-2684.891845703125
84991292,-1586.7080078125,-1635.01171875
84991294,969.8584594726562,1009.9668579101562
84991296,1815.8277587890625,1862.42431640625
84991298,1399.840087890625,1422.5484619140625
84991300,1419.7655029296875,1451.3504638671875
84991302,970.4566040039062,1012.8827514648438
84991304,-473.6746826171875,-476.860595703125
84991306,-2571.31640625,-2657.58935546875
84991308,-2289.926025390625,-2365.985107421875
84991310,-490.2646789550781,-508.5452575683594
84991312,1730.7593994140625,1781.2105712890625
84991314,1498.53271484375,1520.18603515625
84991316,1412.64599609375,1433.343994140625
84991318,1226.3179931640625,1257.39208984375
84991320,533.343017578125,562.203125
84991322,-1683.19921875,-1738.0616455078125
84991324,-2629.62646484375,-2716.2275390625
84991326,-1717.3470458984375,-1770.6351318359375
84991328,794.4879760742188,829.0719604492188
84991330,1815.682373046875,1862.6485595703125
84991332,1420.9949951171875,1446.0087890625
84991334,1449.03271484375,1481.5771484375
84991336,1008.3136596679688,1051.234130859375
84991338,-341.16241455078125,-334.9899597167969
84991340,-2485.2470703125,-2566.9716796875
84991342,-2335.949462890625,-2412.228515625
84991344,-686.2916259765625,-704.6843872070312
84991346,1656.1251220703125,1715.5235595703125
84991348,1548.42724609375,1577.7359619140625
84991350,1458.2955322265625,1486.9312744140625
84991352,1248.349365234375,1279.1866455078125
84991354,634.0418701171875,663.4835205078125
84991356,-1548.963134765625,-1597.1463623046875
84991358,-2680.721435546875,-2763.91650390625
84991360,-1829.1903076171875,-1883.965576171875
84991362,620.3428955078125,650.4865112304688
84991364,1818.0125732421875,1868.6798095703125
84991366,1350.01611328125,1369.8917236328125
84991368,1431.7822265625,1461.7513427734375
84991370,1047.259033203125,1083.678955078125
84991372,-201.4600372314453,-202.16201782226562
84991374,-2392.506591796875,-2477.2509765625
84991376,-2398.749755859375,-2479.589599609375
84991378,-827.7219848632812,-856.6361083984375
84991380,1554.13037109375,1610.8536376953125
84991382,1582.7080078125,1609.690673828125
84991384,1402.4569091796875,1428.41357421875
84991386,1281.670654296875,1313.7125244140625
84991388,673.2156982421875,714.9274291992188
84991390,-1330.4146728515625,-1361.83349609375
84991392,-2651.44189453125,-2730.5205078125
84991394,-1924.41455078125,-1986.400634765625
84991396,426.96185302734375,449.4916687011719
84991398,1880.630126953125,1938.4874267578125
84991400,1382.1741943359375,1399.4371337890625
84991402,1448.538330078125,1477.016357421875
84991404,1083.99462890625,1121.419677734375
84991406,-24.12901496887207,-9.740495681762695
84991408,-2306.075927734375,-2381.66552734375
84991410,-2434.197509765625,-2510.61376953125
84991412,-962.2737426757812,-991.2958374023438
84991414,1512.9752197265625,1570.8408203125
84991416,1619.47265625,1652.9642333984375
84991418,1404.9573974609375,1424.0562744140625
84991420,1332.3211669921875,1363.97265625
84991422,771.0900268554688,804.2451171875
84991424,-1176.4815673828125,-1211.6802978515625
84991426,-2671.12646484375,-2761.067138671875
84991428,-1990.55859375,-2061.30078125
84991430,272.7920227050781,280.26043701171875
84991432,1863.40869140625,1910.0966796875
84991434,1402.062255859375,1415.43310546875
84991436,1451.0845947265625,1473.2032470703125
84991438,1115.8079833984375,1141.4365234375
84991440,79.1493148803711,80.72772979736328
84991442,-2184.695556640625,-2271.728759765625
84991444,-2470.35595703125,-2565.642333984375
84991446,-1139.57568359375,-1189.09228515625
84991448,1383.9893798828125,1425.4810791015625
84991450,1679.9967041015625,1713.99072265625
84991452,1434.9930419921875,1447.4376220703125
