samplestamps,C1,C2,C3,C4
83303014,-908.7197265625,-764.2156372070312,-766.8656616210938,-768.3402709960938
83303016,-2370.3671875,-2327.567138671875,-2384.83056640625,-2377.033935546875
83303018,-2007.966796875,-1952.72216796875,-1998.9656982421875,-1991.817138671875
83303020,-366.4420166015625,-262.63201904296875,-264.46380615234375,-245.97555541992188
83303022,1331.768798828125,1481.3612060546875,1524.41455078125,1530.21728515625
83303024,1045.2652587890625,1148.053466796875,1169.5614013671875,1166.5250244140625
83303026,1096.3643798828125,1191.3809814453125,1221.902587890625,1211.846435546875
83303028,913.5131225585938,1005.4185180664062,1041.236083984375,1030.4114990234375
83303030,249.21961975097656,316.8215637207031,345.12506103515625,335.23504638671875
83303032,-1690.1192626953125,-1708.44970703125,-1744.3919677734375,-1751.627685546875
83303034,-2238.3203125,-2279.134765625,-2334.022216796875,-2338.121826171875
83303036,-1406.477783203125,-1409.4974365234375,-1441.2735595703125,-1442.8809814453125
83303038,731.2890014648438,810.7332153320312,847.9921875,847.364990234375
83303040,1370.8968505859375,1441.9630126953125,1488.3602294921875,1483.450439453125
83303042,1051.0845947265625,1093.415283203125,1126.83203125,1119.180908203125
83303044,1095.0394287109375,1142.865478515625,1184.5439453125,1173.943603515625
83303046,734.0387573242188,783.33935546875,828.3450317382812,813.1755981445312
83303048,-566.6559448242188,-563.698486328125,-558.3734130859375,-570.1782836914062
83303050,-2218.28271484375,-2284.538818359375,-2340.6806640625,-2344.0244140625
83303052,-1985.0216064453125,-2035.3690185546875,-2084.154541015625,-2081.92822265625
83303054,-418.1850280761719,-410.92431640625,-412.9347229003906,-406.60028076171875
83303056,1344.83642578125,1415.5494384765625,1467.6123046875,1468.264404296875
83303058,1122.4581298828125,1154.2425537109375,1180.876220703125,1175.385009765625
83303060,1191.160888671875,1225.9774169921875,1253.8905029296875,1251.6640625
83303062,951.0877685546875,991.6032104492188,1023.1175537109375,1013.256591796875
83303064,370.2509765625,403.1942138671875,427.5890808105469,420.3117370605469
83303066,-1473.9716796875,-1519.214111328125,-1554.504150390625,-1561.133544921875
83303068,-2239.1259765625,-2307.9990234375,-2368.86767578125,-2370.745361328125
83303070,-1465.2696533203125,-1506.15478515625,-1539.28076171875,-1536.0948486328125
83303072,647.553955078125,692.81298828125,722.5204467773438,723.500732421875
83303074,1382.93017578125,1435.2215576171875,1475.3797607421875,1474.632080078125
83303076,1015.2254638671875,1045.472900390625,1066.5697021484375,1066.2332763671875
83303078,1091.53369140625,1124.8258056640625,1158.944580078125,1156.356689453125
83303080,822.0189208984375,858.3349609375,894.2979736328125,889.890869140625
83303082,-384.219970703125,-382.46710205078125,-384.5730285644531,-384.2490539550781
83303084,-2165.99951171875,-2237.26513671875,-2295.110107421875,-2294.04248046875
83303086,-2030.716796875,-2085.91162109375,-2139.00048828125,-2138.4189453125
83303088,-611.420654296875,-607.453857421875,-619.0884399414062,-616.1683959960938
83303090,1310.954345703125,1376.213623046875,1423.1715087890625,1423.30859375
83303092,1157.249755859375,1189.4619140625,1220.2410888671875,1218.4259033203125
83303094,1129.901611328125,1158.8199462890625,1185.6197509765625,1188.71435546875
83303096,989.9791259765625,1022.016845703125,1056.32666015625,1060.04833984375
83303098,468.1709899902344,493.0767517089844,521.222412109375,524.0261840820312
83303100,-1373.6051025390625,-1420.9991455078125,-1451.9237060546875,-1453.2196044921875
83303102,-2265.98828125,-2343.301513671875,-2408.747802734375,-2397.424560546875
83303104,-1603.2606201171875,-1658.27685546875,-1695.120361328125,-1688.345703125
83303106,458.93310546875,485.7579040527344,512.7737426757812,520.0926513671875
83303108,1416.9617919921875,1463.5374755859375,1512.9710693359375,1512.4144287109375
83303110,1061.755615234375,1077.614501953125,1106.404052734375,1102.9854736328125
83303112,1123.421875,1148.676513671875,1185.6280517578125,1180.921875
83303114,807.0447387695312,842.9080200195312,877.2717895507812,875.2240600585938
83303116,-279.2220153808594,-277.7266540527344,-280.4930419921875,-277.9385070800781
83303118,-2104.075927734375,-2183.5283203125,-2248.47607421875,-2239.60791015625
83303120,-2039.47705078125,-2107.930419921875,-2171.44091796875,-2159.930908203125
83303122,-760.4772338867188,-782.2968139648438,-798.0643310546875,-786.4505004882812
83303124,1225.6243896484375,1273.8408203125,1320.8153076171875,1330.1114501953125
83303126,1223.8631591796875,1241.308837890625,1276.9561767578125,1278.418212890625
83303128,1125.6856689453125,1137.8685302734375,1161.2996826171875,1171.5469970703125
83303130,1011.11328125,1028.8123779296875,1056.646484375,1066.428466796875
83303132,557.7628173828125,579.8814086914062,604.0062866210938,606.2783813476562
83303134,-1221.238037109375,-1270.2645263671875,-1297.6749267578125,-1294.8629150390625
83303136,-2266.2998046875,-2355.4677734375,-2418.4384765625,-2410.62109375
83303138,-1616.756103515625,-1680.1669921875,-1726.00341796875,-1710.35205078125
83303140,327.409423828125,345.55291748046875,363.04425048828125,375.8668212890625
83303142,1486.424560546875,1530.2879638671875,1579.92919921875,1582.965576171875
83303144,1060.0068359375,1070.5240478515625,1098.806884765625,1098.8857421875
83303146,1128.2027587890625,1149.2081298828125,1183.63427734375,1182.130615234375
83303148,860.16259765625,884.4037475585938,918.0573120117188,920.3626098632812
83303150,-62.2768669128418,-63.01207733154297,-54.61323547363281,-55.60182189941406
83303152,-1939.3638916015625,-2025.3211669921875,-2078.048583984375,-2083.06201171875
83303154,-2098.322998046875,-2175.025634765625,-2232.932861328125,-2232.500732421875
83303156,-887.2615356445312,-913.1018676757812,-932.2339477539062,-932.5662841796875
83303158,1192.718505859375,1247.5435791015625,1290.6260986328125,1286.28955078125
83303160,1283.489990234375,1308.07177734375,1340.4666748046875,1332.121826171875
83303162,1104.946044921875,1124.2608642578125,1153.6610107421875,1146.7325439453125
83303164,969.6756591796875,993.218994140625,1031.8404541015625,1018.7561645507812
83303166,604.708251953125,635.2091064453125,665.9466552734375,650.1085205078125
83303168,-1087.88671875,-1125.1622314453125,-1147.3555908203125,-1160.9176025390625
83303170,-2245.564208984375,-2330.18408203125,-2391.621826171875,-2401.453857421875
83303172,-1755.4573974609375,-1817.11962890625,-1861.2861328125,-1861.4398193359375
83303174,171.41195678710938,186.489990234375,203.7487335205078,201.676025390625
83303176,1491.1763916015625,1538.4998779296875,1585.8524169921875,1580.5023193359375
83303178,1046.00048828125,1051.184326171875,1080.966552734375,1070.611328125
83303180,1216.656494140625,1235.7261962890625,1269.508544921875,1263.9715576171875
83303182,880.48681640625,904.2378540039062,941.9703369140625,941.55078125
83303184,26.86216926574707,20.63572883605957,44.07522201538086,42.30988693237305
83303186,-1904.1859130859375,-1989.8192138671875,-2033.404296875,-2035.007568359375
83303188,-2152.724365234375,-2239.57470703125,-2293.423583984375,-2292.185791015625
83303190,-1042.32861328125,-1080.32275390625,-1097.7392578125,-1097.2159423828125
83303192,1071.001708984375,1114.5743408203125,1156.1033935546875,1160.80126953125
83303194,1303.6688232421875,1333.2598876953125,1368.4710693359375,1364.7286376953125
83303196,1093.2076416015625,1109.560791015625,1138.00146484375,1135.646240234375
83303198,1059.65380859375,1083.080810546875,1114.72802734375,1116.2899169921875
83303200,618.2078857421875,649.2320556640625,680.5844116210938,682.43701171875
83303202,-898.1651000976562,-932.5496215820312,-945.3597412109375,-949.2476196289062
83303204,-2262.798095703125,-2343.85400390625,-2408.38623046875,-2405.109130859375
83303206,-1801.987548828125,-1860.88330078125,-1909.28662109375,-1905.3447265625
83303208,-53.66618347167969,-36.50712966918945,-30.251611709594727,-16.693838119506836
83303210,1420.9908447265625,1481.498291015625,1528.655517578125,1535.359619140625
83303212,1044.6671142578125,1067.04736328125,1097.012451171875,1100.2357177734375
83303214,1145.5653076171875,1173.5283203125,1211.92529296875,1214.94921875
83303216,885.5751342773438,919.2161865234375,955.49072265625,958.552001953125
83303218,147.91015625,169.0235595703125,191.33738708496094,191.54507446289062
83303220,-1827.894287109375,-1891.1016845703125,-1933.19970703125,-1931.4676513671875
83303222,-2142.51025390625,-2214.03759765625,-2272.65087890625,-2269.0205078125
83303224,-1173.4368896484375,-1202.085205078125,-1231.4727783203125,-1220.8226318359375
83303226,965.0982666015625,1012.4549560546875,1053.273681640625,1062.133544921875
83303228,1343.930908203125,1378.33203125,1420.525634765625,1425.007568359375
83303230,1076.8004150390625,1095.4090576171875,1123.459228515625,1128.9130859375
83303232,1053.0908203125,1081.892822265625,1115.62939453125,1117.8724365234375
83303234,719.4301147460938,755.03173828125,782.8908081054688,795.0404663085938
83303236,-750.1054077148438,-765.8604736328125,-787.3768310546875,-774.6829833984375
83303238,-2279.695556640625,-2360.011962890625,-2432.918212890625,-2417.574462890625
83303240,-1893.2864990234375,-1952.094970703125,-2009.9315185546875,-2001.0841064453125
83303242,-184.12652587890625,-171.11288452148438,-177.71316528320312,-161.95391845703125
83303244,1448.127197265625,1513.3282470703125,1556.0078125,1566.7950439453125
83303246,1083.1971435546875,1112.0198974609375,1137.8726806640625,1142.1634521484375
83303248,1172.5355224609375,1211.281494140625,1238.8123779296875,1241.038818359375
83303250,911.3116455078125,952.7450561523438,980.43798828125,980.8325805664062
83303252,258.5032043457031,286.2168884277344,300.3478698730469,297.9677734375
83303254,-1683.3487548828125,-1742.6556396484375,-1788.5751953125,-1798.4776611328125
83303256,-2197.84619140625,-2265.26123046875,-2335.401123046875,-2339.7333984375
83303258,-1340.105224609375,-1376.15966796875,-1417.6387939453125,-1418.3199462890625
83303260,824.93896484375,869.83251953125,898.41015625,894.45166015625
83303262,1395.972900390625,1434.9971923828125,1473.344482421875,1460.625732421875
83303264,1089.2491455078125,1106.2711181640625,1127.367919921875,1117.369873046875
83303266,1098.017578125,1120.730224609375,1147.7626953125,1142.5040283203125
83303268,743.1188354492188,768.4482421875,796.7933349609375,794.7953491210938
83303270,-593.8587036132812,-613.5847778320312,-625.942138671875,-628.3180541992188
83303272,-2225.892333984375,-2310.2294921875,-2378.516845703125,-2377.665283203125
83303274,-1931.629638671875,-1997.964599609375,-2061.740966796875,-2054.600830078125
83303276,-363.2228698730469,-360.90093994140625,-377.9353942871094,-370.03082275390625
83303278,1399.5244140625,1460.58837890625,1497.7392578125,1503.392578125
83303280,1110.059326171875,1132.4437255859375,1152.8260498046875,1153.4449462890625
83303282,1132.647216796875,1162.70361328125,1184.6436767578125,1190.4381103515625
83303284,978.1824951171875,1008.7041015625,1034.6773681640625,1040.505126953125
83303286,338.88201904296875,364.46484375,376.8803405761719,382.9779968261719
83303288,-1507.355224609375,-1568.797119140625,-1616.751953125,-1611.6802978515625
83303290,-2215.998046875,-2292.82958984375,-2366.73681640625,-2354.89453125
83303292,-1420.592041015625,-1463.2550048828125,-1515.6876220703125,-1497.6728515625
83303294,721.1331176757812,765.3662109375,786.325927734375,797.6448364257812
83303296,1408.8826904296875,1455.462646484375,1487.69970703125,1490.088134765625
83303298,1043.05126953125,1062.150146484375,1082.3953857421875,1078.4410400390625
83303300,1150.4251708984375,1179.380859375,1209.362548828125,1209.9814453125
83303302,792.153564453125,825.3792724609375,854.9912109375,858.9248046875
83303304,-450.5467224121094,-457.8739013671875,-457.8157653808594,-460.66107177734375
83303306,-2175.873046875,-2253.805419921875,-2314.408203125,-2321.291015625
83303308,-2044.1583251953125,-2108.2958984375,-2160.25927734375,-2163.872802734375
83303310,-552.799072265625,-563.8812255859375,-571.8107299804688,-572.9737548828125
83303312,1346.78857421875,1398.033203125,1448.0025634765625,1440.7003173828125
83303314,1144.2777099609375,1162.63720703125,1189.063232421875,1177.1669921875
83303316,1136.0616455078125,1158.10546875,1195.3021240234375,1178.9820556640625
83303318,979.84814453125,1006.1994018554688,1037.9422607421875,1033.6597900390625
83303320,423.8880920410156,448.5820007324219,468.70684814453125,474.47637939453125
83303322,-1413.248291015625,-1464.1231689453125,-1501.2451171875,-1504.61376953125
83303324,-2262.249755859375,-2345.586181640625,-2411.322998046875,-2410.28466796875
83303326,-1547.6380615234375,-1599.676025390625,-1639.9588623046875,-1638.359619140625
83303328,526.7427368164062,554.7596435546875,575.3662719726562,587.3207397460938
83303330,1441.3150634765625,1481.7557373046875,1521.2203369140625,1525.5277099609375
83303332,1087.055908203125,1096.40185546875,1120.3148193359375,1120.9005126953125
83303334,1177.474365234375,1198.6085205078125,1229.5537109375,1231.7012939453125
83303336,862.4762573242188,891.3239135742188,920.7655029296875,921.2930297851562
83303338,-273.0121765136719,-278.9977111816406,-279.8575134277344,-276.1980895996094
83303340,-2121.600341796875,-2201.559814453125,-2255.81982421875,-2253.447998046875
83303342,-2058.58837890625,-2126.236083984375,-2178.66845703125,-2171.48681640625
83303344,-712.4185791015625,-726.4125366210938,-738.383544921875,-729.8933715820312
83303346,1309.3427734375,1363.739990234375,1409.2066650390625,1419.960693359375
83303348,1222.164306640625,1240.96826171875,1270.9830322265625,1279.4234619140625
83303350,1140.169677734375,1156.5103759765625,1183.638427734375,1195.0736083984375
83303352,989.825439453125,1009.9585571289062,1041.46875,1050.81884765625
83303354,495.0954895019531,518.3937377929688,544.1967163085938,549.0648803710938
83303356,-1250.0732421875,-1300.0965576171875,-1336.69921875,-1332.179931640625
83303358,-2285.04541015625,-2366.051513671875,-2434.83740234375,-2427.33154296875
83303360,-1664.0712890625,-1716.71142578125,-1767.017333984375,-1759.0379638671875
83303362,389.8441162109375,414.6086730957031,427.8133544921875,436.4739074707031
83303364,1467.3671875,1517.7021484375,1554.70361328125,1557.3992919921875
83303366,1065.9923095703125,1078.3787841796875,1088.538818359375,1092.6302490234375
83303368,1286.7464599609375,1226.6419677734375,1235.3814697265625,1237.994140625
83303370,1178.9114990234375,956.16357421875,953.110595703125,951.594482421875
83303372,36.27036666870117,-93.70813751220703,-108.63664245605469,-112.8609848022461
83303374,-1812.2181396484375,-2055.95068359375,-2133.41357421875,-2134.327392578125
83303376,-1954.0306396484375,-2148.242431640625,-2224.920166015625,-2215.54541015625
83303378,-736.4603881835938,-880.3871459960938,-912.4331665039062,-904.6822509765625
83303380,1316.001220703125,1269.844970703125,1297.9739990234375,1301.8453369140625
83303382,1332.072021484375,1268.2457275390625,1290.842041015625,1285.60009765625
83303384,1155.019287109375,1094.640625,1114.5494384765625,1110.13818359375
