samplestamps,C1,C2,C3,C4,C5,C6,C7,C8
84241274,1122.80712890625,1156.838623046875,1184.9552001953125,1189.7236328125,1194.9822998046875,1173.1876220703125,1184.3570556640625,1144.0118408203125
84241276,680.5013427734375,723.3013916015625,747.7128295898438,753.22900390625,759.1273193359375,733.47802734375,743.0855712890625,704.638671875
84241278,-660.920654296875,-674.9395141601562,-692.4266967773438,-685.6519775390625,-680.2188720703125,-681.58544921875,-699.0726928710938,-674.3953857421875
84241280,-2213.59716796875,-2300.003173828125,-2371.47216796875,-2359.625732421875,-2366.952880859375,-2333.253662109375,-2376.01220703125,-2266.781494140625
84241282,-1885.822265625,-1948.2486572265625,-2010.1351318359375,-1997.2044677734375,-2005.3873291015625,-1975.7255859375,-2010.40087890625,-1915.5089111328125
84241284,-223.01788330078125,-218.24940490722656,-231.67425537109375,-215.35841369628906,-217.95033264160156,-218.3740234375,-225.80503845214844,-215.92747497558594
84241286,1451.6536865234375,1521.2410888671875,1550.6910400390625,1560.59765625,1565.8023681640625,1539.6878662109375,1556.1656494140625,1489.9012451171875
84241288,1125.357421875,1152.1158447265625,1158.8531494140625,1164.468994140625,1172.2613525390625,1156.6766357421875,1159.4471435546875,1130.10107421875
84241290,1174.4462890625,1211.18603515625,1223.74267578125,1229.6285400390625,1235.19873046875,1216.71875,1225.0469970703125,1188.548095703125
84241292,949.9579467773438,991.3955078125,998.6063842773438,1008.060302734375,1015.95654296875,996.4672241210938,1007.470458984375,965.513671875
84241294,267.7452392578125,298.78607177734375,296.3852233886719,305.79339599609375,308.900390625,300.93353271484375,301.1869201660156,277.1202087402344
84241296,-1587.28125,-1635.1529541015625,-1703.265869140625,-1695.2947998046875,-1694.480712890625,-1668.960205078125,-1705.9990234375,-1631.1239013671875
84241298,-2179.270751953125,-2253.759521484375,-2337.046142578125,-2328.03662109375,-2325.34912109375,-2291.168212890625,-2333.2578125,-2225.215087890625
84241300,-1294.54296875,-1339.47802734375,-1390.5107421875,-1379.0133056640625,-1380.68310546875,-1357.056640625,-1387.37060546875,-1318.43115234375
84241302,815.0073852539062,852.4450073242188,874.6176147460938,888.2750244140625,888.6281127929688,870.762939453125,883.5938110351562,846.0316162109375
84241304,1437.4561767578125,1475.9654541015625,1514.437255859375,1517.74365234375,1526.0552978515625,1500.0654296875,1516.6595458984375,1462.673583984375
84241306,1092.7008056640625,1106.6614990234375,1129.814453125,1132.1944580078125,1139.1353759765625,1122.3460693359375,1132.4520263671875,1100.8214111328125
84241308,1125.328369140625,1151.04833984375,1181.4951171875,1184.9385986328125,1188.3570556640625,1168.763916015625,1184.4400634765625,1141.145751953125
84241310,745.365966796875,781.7443237304688,810.0894165039062,811.9129028320312,817.30029296875,802.9906616210938,821.0843505859375,769.2665405273438
84241312,-536.1675415039062,-550.1864013671875,-558.8427734375,-559.9061279296875,-553.8998413085938,-550.364990234375,-549.2642822265625,-547.1126098632812
84241314,-2177.197998046875,-2270.4326171875,-2333.760498046875,-2334.0263671875,-2334.2421875,-2297.531494140625,-2327.05224609375,-2233.69287109375
84241316,-1916.4310302734375,-1996.2117919921875,-2049.956787109375,-2038.8040771484375,-2045.3212890625,-2015.0572509765625,-2035.86328125,-1960.1656494140625
84241318,-412.149658203125,-424.85174560546875,-430.16436767578125,-414.4383544921875,-421.05108642578125,-421.81536865234375,-414.8578796386719,-408.6771240234375
84241320,1413.584716796875,1469.48974609375,1522.61181640625,1529.23291015625,1528.402099609375,1500.5679931640625,1532.7137451171875,1454.282958984375
84241322,1170.516845703125,1193.1256103515625,1221.952392578125,1222.6876220703125,1221.7862548828125,1209.395751953125,1221.4830322265625,1182.8907470703125
84241324,1161.993408203125,1191.3602294921875,1218.9493408203125,1217.4871826171875,1220.5194091796875,1202.4423828125,1217.2919921875,1177.4451904296875
84241326,942.3483276367188,977.114990234375,1008.9990234375,1008.641845703125,1013.3106079101562,985.7049560546875,1005.929443359375,965.513671875
84241328,358.6786804199219,389.383056640625,412.24517822265625,407.7757873535156,418.4176330566406,395.06536865234375,409.3126525878906,376.9010925292969
84241330,-1501.240966796875,-1551.978759765625,-1590.88671875,-1596.43603515625,-1591.2979736328125,-1579.5926513671875,-1599.5347900390625,-1533.78955078125
84241332,-2233.622314453125,-2309.79345703125,-2376.09521484375,-2376.539794921875,-2374.16796875,-2346.479248046875,-2381.578125,-2276.509521484375
84241334,-1437.240234375,-1478.204345703125,-1528.410400390625,-1519.870361328125,-1516.9337158203125,-1503.463134765625,-1524.6180419921875,-1463.39208984375
84241336,671.9280395507812,716.48095703125,734.711669921875,747.0773315429688,754.7451171875,730.3211669921875,744.8218383789062,702.6531982421875
84241338,1412.4176025390625,1471.197021484375,1505.3489990234375,1506.520263671875,1519.521484375,1489.3778076171875,1510.0384521484375,1449.7138671875
84241340,1045.6307373046875,1070.6611328125,1092.833740234375,1088.60107421875,1099.17236328125,1078.3082275390625,1090.1878662109375,1060.1729736328125
84241342,1121.8516845703125,1153.4990234375,1187.7589111328125,1180.56884765625,1191.3602294921875,1164.502197265625,1181.204345703125,1139.1644287109375
84241344,758.2218017578125,797.7196044921875,833.0927734375,823.43115234375,835.3773193359375,805.2835083007812,825.2920532226562,779.7838134765625
