samplestamps,C1
84940754,1328.3377685546875
84940756,1438.2288818359375
84940758,1039.5662841796875
84940760,-309.55670166015625
84940762,-2575.910400390625
84940764,-2469.39208984375
84940766,-855.576904296875
84940768,1610.5213623046875
84940770,1542.375244140625
84940772,1431.8612060546875
84940774,1212.3905029296875
84940776,602.9387817382812
84940778,-1563.4097900390625
84940780,-2799.2939453125
84940782,-1982.64990234375
84940784,488.47027587890625
84940786,1799.51611328125
84940788,1315.9388427734375
84940790,1401.966796875
84940792,1015.7571411132812
84940794,-185.85031127929688
84940796,-2506.804931640625
84940798,-2573.8916015625
84940800,-946.3483276367188
84940802,1512.4061279296875
84940804,1604.4154052734375
84940806,1353.8665771484375
84940808,1273.853271484375
84940810,650.3660278320312
84940812,-1357.39306640625
84940814,-2782.147216796875
84940816,-2090.06103515625
84940818,331.6877746582031
84940820,1793.4183349609375
84940822,1360.1927490234375
84940824,1440.4261474609375
84940826,1031.15087890625
84940828,-120.0967788696289
84940830,-2404.00830078125
84940832,-2579.237548828125
84940834,-1183.1358642578125
84940836,1362.3070068359375
84940838,1653.2591552734375
84940840,1411.9190673828125
84940842,1310.4019775390625
84940844,784.3653564453125
84940846,-1203.2191162109375
84940848,-2773.04638671875
84940850,-2195.57421875
84940852,167.32052612304688
84940854,1794.9302978515625
84940856,1402.5108642578125
84940858,1401.6136474609375
84940860,1095.267822265625
84940862,30.558988571166992
84940864,-2289.56884765625
84940866,-2615.76953125
84940868,-1309.2305908203125
84940870,1263.9757080078125
84940872,1657.35888671875
84940874,1373.0277099609375
84940876,1301.537841796875
84940878,827.7801513671875
84940880,-1023.3709716796875
84940882,-2763.247802734375
84940884,-2207.5908203125
84940886,-5.2752366065979
84940888,1792.267822265625
84940890,1404.799560546875
84940892,1445.173828125
84940894,1166.7120361328125
84940896,188.88253784179688
84940898,-2176.49609375
84940900,-2659.990234375
84940902,-1390.494140625
84940904,1440.4510498046875
84940906,1888.202392578125
84940908,1561.0296630859375
84940910,1493.9095458984375
84940912,981.8087158203125
84940914,-780.0786743164062
84940916,-2630.9970703125
84940918,-2199.781982421875
84940920,-185.14002990722656
84940922,1845.5518798828125
84940924,1487.1182861328125
84940926,1486.424560546875
84940928,1186.4298095703125
84940930,342.3462219238281
84940932,-2002.46728515625
84940934,-2650.677490234375
84940936,-1529.83935546875
84940938,1069.9051513671875
84940940,1752.159423828125
84940942,1360.072265625
84940944,1372.7744140625
84940946,935.1290893554688
84940948,-720.115478515625
84940950,-2698.511962890625
84940952,-2330.28369140625
84940954,-361.52813720703125
84940956,1771.058837890625
84940958,1528.111328125
84940960,1432.4801025390625
84940962,1173.565673828125
84940964,368.730712890625
84940966,-1918.271240234375
84940968,-2674.12939453125
84940970,-1658.7337646484375
84940972,902.5722045898438
84940974,1757.65478515625
84940976,1335.9930419921875
84940978,1364.338134765625
84940980,956.446044921875
84940982,-537.1104736328125
84940984,-2632.197509765625
84940986,-2393.6572265625
84940988,-545.3389892578125
84940990,1688.0050048828125
84940992,1513.182861328125
84940994,1423.591064453125
84940996,1268.125244140625
84940998,495.13287353515625
84941000,-1741.883056640625
84941002,-2710.919189453125
84941004,-1820.9783935546875
84941006,747.9953002929688
84941008,1771.8148193359375
84941010,1384.8118896484375
84941012,1375.3621826171875
84941014,1010.3739013671875
84941016,-428.7313537597656
84941018,-2623.5205078125
84941020,-2446.35546875
84941022,-739.0066528320312
84941024,1575.8709716796875
84941026,1494.923095703125
84941028,1405.5430908203125
84941030,1249.6246337890625
84941032,533.01904296875
84941034,-1626.5382080078125
84941036,-2769.39111328125
84941038,-1902.258544921875
84941040,602.9968872070312
84941042,1795.030029296875
84941044,1351.7523193359375
84941046,1382.7266845703125
84941048,966.165771484375
84941050,-319.3927307128906
84941052,-2551.88525390625
84941054,-2512.321044921875
84941056,-884.744384765625
84941058,1548.693115234375
84941060,1541.8519287109375
84941062,1404.8204345703125
84941064,1281.080810546875
84941066,626.4197998046875
84941068,-1488.1068115234375
84941070,-2768.58935546875
84941072,-1982.9114990234375
84941074,461.30072021484375
84941076,1828.5133056640625
84941078,1370.9383544921875
84941080,1418.058349609375
84941082,1097.623046875
84941084,-124.5537338256836
84941086,-2431.501953125
84941088,-2516.83203125
84941090,-1028.0023193359375
84941092,1460.9580078125
84941094,1612.722900390625
84941096,1407.6158447265625
84941098,1331.158203125
84941100,748.5892944335938
84941102,-1303.7891845703125
84941104,-2741.34521484375
84941106,-2054.1396484375
84941108,309.8391418457031
84941110,1836.8331298828125
84941112,1412.953369140625
84941114,1506.3748779296875
84941116,1103.0186767578125
84941118,6.176595687866211
84941120,-2339.35546875
84941122,-2585.443115234375
84941124,-1166.616455078125
84941126,1358.1739501953125
84941128,1664.8355712890625
84941130,1395.1629638671875
84941132,1314.7425537109375
84941134,771.9706420898438
84941136,-1134.6494140625
84941138,-2756.47314453125
84941140,-2153.0400390625
84941142,139.09593200683594
84941144,1833.236083984375
84941146,1386.9468994140625
84941148,1442.635986328125
84941150,1104.2315673828125
84941152,92.58663177490234
84941154,-2245.094970703125
84941156,-2580.408935546875
84941158,-1244.955810546875
84941160,1275.0537109375
84941162,1670.854248046875
84941164,1368.32568359375
84941166,1314.4061279296875
84941168,831.908935546875
84941170,-1048.8541259765625
84941172,-2764.984130859375
84941174,-2228.974365234375
84941176,-76.93537902832031
84941178,1815.30859375
84941180,1459.35888671875
84941182,1456.7586669921875
84941184,1201.4912109375
84941186,232.91622924804688
84941188,-2121.122802734375
84941190,-2640.9287109375
84941192,-1440.849853515625
84941194,1199.2855224609375
84941196,1734.3980712890625
84941198,1427.3211669921875
84941200,1406.294921875
84941202,905.7996215820312
84941204,-844.2371826171875
84941206,-2682.91455078125
84941208,-2300.397705078125
84941210,-225.54751586914062
84941212,1768.961181640625
84941214,1485.0828857421875
84941216,1469.8968505859375
84941218,1191.572021484375
84941220,335.1935119628906
84941222,-1971.9913330078125
84941224,-2641.6513671875
84941226,-1554.117919921875
84941228,1052.7626953125
84941230,1725.2515869140625
84941232,1376.230224609375
84941234,1341.6588134765625
84941236,916.64501953125
84941238,-726.17578125
84941240,-2685.822265625
84941242,-2372.4150390625
84941244,-450.7544250488281
84941246,1706.4434814453125
84941248,1479.720458984375
84941250,1416.7000732421875
84941252,1190.1431884765625
84941254,428.1207580566406
84941256,-1845.194580078125
84941258,-2668.347412109375
84941260,-1691.3570556640625
84941262,800.6978149414062
84941264,1516.82568359375
84941266,1234.4178466796875
84941268,1216.108154296875
84941270,852.9392700195312
84941272,-627.4374389648438
84941274,-2712.69677734375
84941276,-2488.482666015625
84941278,-634.9556884765625
84941280,1588.8846435546875
84941282,1431.3543701171875
84941284,1387.4287109375
84941286,1140.6431884765625
84941288,435.0450134277344
84941290,-1835.142578125
84941292,-2776.02880859375
84941294,-1828.10205078125
84941296,682.8980712890625
84941298,1808.67919921875
84941300,1328.0428466796875
84941302,1402.037353515625
84941304,988.620849609375
84941306,-410.9783020019531
84941308,-2559.1875
84941310,-2461.6123046875
84941312,-776.7224731445312
84941314,1633.3004150390625
84941316,1515.87451171875
84941318,1415.2711181640625
84941320,1237.7864990234375
84941322,551.0005493164062
84941324,-1625.4124755859375
84941326,-2762.470947265625
84941328,-1969.7899169921875
84941330,550.2570190429688
84941332,1825.95458984375
84941334,1377.360107421875
84941336,1408.8619384765625
84941338,1017.1071166992188
84941340,-254.53224182128906
84941342,-2483.5107421875
84941344,-2526.80078125
