samplestamps,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16
83394454,1208.9013671875,1239.56005859375,1254.920654296875,1261.91552734375,1260.7939453125,1239.481201171875,1257.5789794921875,1226.2349853515625,1248.38671875,1252.216552734375,1256.569580078125,1257.0140380859375,1247.5684814453125,1248.3701171875,1231.277587890625,1197.7196044921875
83394456,1139.849853515625,1175.9166259765625,1200.7933349609375,1207.56396484375,1203.2232666015625,1175.2686767578125,1198.2470703125,1160.1448974609375,1189.7984619140625,1194.6666259765625,1203.2315673828125,1197.0716552734375,1187.8876953125,1188.14111328125,1162.62060546875,1130.6575927734375
83394458,674.6694946289062,706.6615600585938,724.7385864257812,735.9827270507812,734.096923828125,709.8889770507812,727.139404296875,692.6427001953125,720.5806884765625,726.8777465820312,732.6887817382812,725.0667114257812,717.98876953125,723.3096923828125,699.4215698242188,673.5936889648438
83394460,-1035.8487548828125,-1068.854248046875,-1100.447509765625,-1089.9385986328125,-1095.7247314453125,-1091.276123046875,-1104.1817626953125,-1056.085693359375,-1108.3936767578125,-1099.3717041015625,-1099.4921875,-1104.94189453125,-1108.921142578125,-1087.882568359375,-1096.414306640625,-1059.8572998046875
83394462,-2188.799560546875,-2267.4501953125,-2340.996337890625,-2323.114501953125,-2330.121826171875,-2302.677978515625,-2339.2890625,-2237.111572265625,-2342.184326171875,-2328.975341796875,-2340.472900390625,-2336.83837890625,-2337.901611328125,-2305.5068359375,-2299.201416015625,-2227.2421875
83394464,-1657.3131103515625,-1713.94921875,-1772.1221923828125,-1753.135498046875,-1761.4512939453125,-1741.4635009765625,-1765.7296142578125,-1686.4639892578125,-1764.010009765625,-1748.9818115234375,-1763.5240478515625,-1760.3089599609375,-1763.183349609375,-1735.1041259765625,-1730.5350341796875,-1669.641357421875
83394466,299.2221984863281,324.30657958984375,325.7562255859375,346.4542541503906,337.7106628417969,324.77178955078125,331.88714599609375,316.71356201171875,336.9588317871094,346.3670349121094,344.48541259765625,343.496826171875,334.9068908691406,341.9599304199219,335.1270446777344,322.5246276855469
83394468,1570.803466796875,1624.074951171875,1660.6900634765625,1672.378662109375,1668.9228515625,1645.1510009765625,1660.7275390625,1607.7633056640625,1663.3070068359375,1674.8834228515625,1676.3787841796875,1669.1346435546875,1659.892578125,1652.84375,1639.5892333984375,1581.83984375
83394470,1188.3861083984375,1208.0997314453125,1217.8236083984375,1227.622314453125,1226.5797119140625,1210.33447265625,1215.6221923828125,1192.2491455078125,1217.910888671875,1224.7562255859375,1226.729248046875,1222.837158203125,1215.5556640625,1212.452880859375,1206.392578125,1156.3817138671875
83394472,1282.630126953125,1313.6875,1331.3326416015625,1341.9952392578125,1342.435546875,1318.6429443359375,1324.836181640625,1300.4412841796875,1329.5672607421875,1332.138427734375,1337.4884033203125,1327.6025390625,1327.9140625,1317.0853271484375,1311.9346923828125,1254.09814453125
83394474,1003.2503051757812,1034.3243408203125,1061.232177734375,1067.018310546875,1068.6881103515625,1044.85400390625,1057.7637939453125,1018.5401611328125,1060.1107177734375,1062.0296630859375,1069.0328369140625,1055.08056640625,1056.89990234375,1047.013916015625,1042.2662353515625,988.940673828125
83394476,53.275733947753906,57.09300994873047,63.90928268432617,65.7826156616211,71.62275695800781,58.995418548583984,55.78874206542969,55.92996597290039,56.727481842041016,60.17923355102539,69.75773620605469,56.65271759033203,59.406639099121094,51.335941314697266,57.857295989990234,30.712675094604492
83394478,-1898.7362060546875,-1974.4254150390625,-2030.974365234375,-2030.139404296875,-2030.2142333984375,-2002.716552734375,-2038.845703125,-1941.3701171875,-2039.80517578125,-2028.951416015625,-2028.1539306640625,-2038.1021728515625,-2029.196533203125,-2013.773681640625,-1992.07470703125,-1948.8052978515625
83394480,-2088.038330078125,-2161.397216796875,-2224.57958984375,-2217.43115234375,-2223.669921875,-2193.268798828125,-2227.728271484375,-2128.83203125,-2224.9453125,-2211.6865234375,-2220.11865234375,-2227.669921875,-2214.004150390625,-2197.10693359375,-2176.0849609375,-2118.435302734375
83394482,-955.9683837890625,-986.8472290039062,-1015.1715087890625,-1004.716552734375,-1011.6698608398438,-995.7486572265625,-1011.4912719726562,-970.2406005859375,-998.4360961914062,-994.4734497070312,-993.6136474609375,-1001.2523193359375,-997.750732421875,-987.07568359375,-976.4130249023438,-946.996337890625
83394484,1218.89111328125,1269.4669189453125,1304.9232177734375,1309.666748046875,1314.833984375,1291.5565185546875,1315.08740234375,1249.6536865234375,1320.931640625,1321.9202880859375,1328.9400634765625,1324.4705810546875,1319.03759765625,1308.3541259765625,1305.9658203125,1256.7025146484375
83394486,1384.7412109375,1412.986572265625,1445.693115234375,1442.324462890625,1448.41796875,1432.434326171875,1445.1904296875,1397.725830078125,1452.45947265625,1450.552978515625,1453.8135986328125,1451.3587646484375,1445.809326171875,1437.6265869140625,1431.7158203125,1379.490966796875
83394488,1233.2879638671875,1252.0421142578125,1278.5635986328125,1270.76708984375,1278.5386962890625,1266.1397705078125,1276.0631103515625,1240.399169921875,1283.560546875,1283.7724609375,1282.991455078125,1283.0206298828125,1272.7110595703125,1273.9945068359375,1263.83447265625,1222.82470703125
